Source,Target,Label,Weight
67,8,31ucy4zG57KrveXsKKfWaAyoY2s6NYkksm,0.01882096
66,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00372938
68,8,1FapDTooKvuJoaAa1cwWVsCMDq3Pnxqz29,0.0021
69,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00126226
70,8,1JrwKC9E2sGGtLtiZwfURRGERpiKENQYm,0.00785841
69,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.0008861
71,8,16RvnG7Z5Zocdpngf9Y7JaQuHbWxRLKoon,0.00358463
72,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.0029835
72,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00574905
73,8,1NVVghCoYaNUHNnJ4niCHFdnfqwDJ85x3C,0.02601775
72,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.0017906
74,8,338aWAiLZvTZSR3NdofmYxYqKRxLhwT5br,0.00930816
75,8,13FVGhUkPJaxbtQPAh4tYh8DBj8VcFKxC7,0.0056862
76,8,1MgBnzY5iEAF4ap4gNFXHbRaowWUBQTvma,0.00655224
77,8,169FuGEhxe5H4fsU6DoKjA6nzB8UxYPAf5,0.0005
78,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00373264
78,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00314069
79,8,1AiVyQ4erVdFQq5kqSFyAgCdYBoXgs1J33,0.01189524
80,8,1BxiuK3gakKLQTAKmQFiVYZEpydjHtjz8u,0.01269982
81,8,15K2w7ZPFitx6VcRSZRULMhwWfpBnca14K,0.00543541
82,8,1JDehaCg29ECzvRMKbNGKu4z42Xma9acqV,0.00526381
83,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.0083538
84,8,1FaD4AroaW6zrL7WH1CrZfH93SPpCYaDEn,0.00066666
85,8,145S2o8tpwiHcZct2Vhhb6iuxATT9ZNYkc,0.00203284
86,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.0067626
87,8,18vJsfBfysZMWf9X21nSPQdqzX3TSZhWAs,0.00568706
88,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00475116
88,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.01048973
89,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00648165
90,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00608087
91,8,1AyHaDAT8hkX2EipDEy1Y9wLddniWLKmEb,0.00555286
92,8,1C8TkSMk95Pwsipa435imVKB3VairBJuet,0.00417026
93,8,16VKGrAYW1K6P3B4SXhXDAUEg1Rybk2SFS,0.00182452
94,8,173QLPb4SdrwJ5TfvA49q4GjfCFWsVyn4Z,0.02200815
95,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00210497
96,8,1C3icPvwrnnWs5jbZDQgBVMYuj3FdVDV7m,0.00525049
97,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00219379
98,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.03200128
99,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.0011934
100,8,16jh3XigbFxmybQhYLoBNw2somkTKqhUDs,0.00454098
101,8,16VKGrAYW1K6P3B4SXhXDAUEg1Rybk2SFS,0.04280822
102,8,14y2GZhPY9jqpffX3tcRzKYwj47RooNjvA,0.00207797
103,8,18hQkVm9BDkAYs4Z2NJGQT8YfHoTNjjvSy,0.03071009
104,8,1GKEoXFMMxgUnoMvTRtWXxssAQvhXcWVTd,0.0014698
105,8,17gUDXYvcWgPpZWq7cz1Fn9GM7KLwMrPCj,0.065922
106,8,1Ms98P4HjHzJApR57VSaUcQf6CQKgxU97R,0.00938089
107,8,1KcAGGjAD2vCcmhichSS34kzEALrRDXHsE,0.00098469
108,8,17JQ32cPfqvZ9ApShC4SMBd9EmodJvW2vP,0.00514215
109,8,1DvPNUyvSazFgJtajpc4gtrHdUkUJ49eeF,0.00605025
